line_n	position_in_line	token	decoded	class
1	0	teodeeor	/t/+/š/+/∅/+/š/+/k/	GLYPH
1	1	qopchety	QO[definiteness]+p[article]+CH[khii/wind]+/t/+/od/	QO
1	2	okeeoly	OK[ug/extract]+ee[intensif]+OL[grade]+/od/	OK
1	3	okchdpchy	OK[ug/extract]+CH[khii/wind]+/∅/+/p/[article]+/ŋ/+/od/	OK
1	4	todax	/t/+/š/+/∅/+/a/+/dal/	GLYPH
1	5	opar	/š/+/p/[article]+/a/+/k/	GLYPH
1	6	yo	/od/+/š/	GLYPH
1	7	lpair	/ug/+/p/[article]+/a/+/k/	GLYPH
1	8	ody	/š/+/∅/+/od/	GLYPH
1	9	otedy	OT[od/stellar]+/∅/+/od/	OT
1	10	kedydy	/ts/+/∅/+/od/+/∅/+/od/	GLYPH
2	0	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
2	1	chokedy	CH[khii/wind]+ug-ed[extraction-classified]	CH
2	2	chockhed	CH[khii/wind]+/š/+/ŋ/+/ts/+/∅/	CH
2	3	qokeor	QO[definiteness]+/ts/+/š/+/k/	QO
2	4	shedy	shim-ed[essence-classified]	SH
2	5	otal	OT[od/stellar]+/a/+/ug/	OT
2	6	otaiin	od-gen[of-stars]	OT
2	7	otedy	OT[od/stellar]+/∅/+/od/	OT
2	8	qokechy	QO[definiteness]+/ts/+/ŋ/+/od/	QO
2	9	ofchdy	/š/+/f/+/ŋ/+/∅/+/od/	GLYPH
2	10	qody	QO[definiteness]+/∅/+/od/	QO
3	0	cheodchy	CH[khii/wind]+/š/+/∅/+/ŋ/+/od/	CH
3	1	qoter	QO[definiteness]+/t/+/k/	QO
3	2	okedy	ug-ed[extraction-classified]	OK
3	3	oteal	OT[od/stellar]+/a/+/ug/	OT
3	4	lkedal	/ug/+/ts/+/∅/+/a/+/ug/	GLYPH
3	5	okedy	ug-ed[extraction-classified]	OK
3	6	otedy	OT[od/stellar]+/∅/+/od/	OT
3	7	okedal	OK[ug/extract]+/∅/+/a/+/ug/	OK
3	8	chckhedy	CH[khii/wind]+CK[khiig/pharma-wind]+/∅/+/od/	CH
3	9	chokedal	CH[khii/wind]+OK[ug/extract]+/∅/+/a/+/ug/	CH
4	0	ychedaiin	/od/+/ŋ/+/∅/+/a/	GLYPH
4	1	shky	SH[shim/essence]+/ts/+/od/	SH
4	2	chdy	CH[khii/wind]+/∅/+/od/	CH
4	3	oteeody	OT[od/stellar]+ee[intensif]+/š/+/∅/+/od/	OT
4	4	chedor	CH[khii/wind]+/∅/+/š/+/k/	CH
4	5	sheeky	SH[shim/essence]+ee[intensif]+/ts/+/od/	SH
5	0	tchokedy	/t/+/ŋ/+/š/+/ts/+/∅/+/od/	GLYPH
5	1	chey	CH[khii/wind]+/od/	CH
5	2	oteey	OT[od/stellar]+ee[intensif]+/od/	OT
5	3	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
5	4	lkededy	/ug/+/ts/+/∅/+/∅/+/od/	GLYPH
5	5	okche	OK[ug/extract]+CH[khii/wind]+?[e]	OK
5	6	y	/od/	GLYPH
5	7	pchofar	p[article]+CH[khii/wind]+/š/+/f/+/a/+/k/	P-ART
5	8	cheo	CH[khii/wind]+/š/	CH
5	9	pchedy	p[article]+khii-ed[vital-wind-classified]	P-ART
5	10	qotedy	QO[definiteness]+/t/+/∅/+/od/	QO
5	11	otol	OT[od/stellar]+/š/+/ug/	OT
6	0	ol	/š/+/ug/	OL
6	1	cheol	khii-eol[vital-wind-completive]	CH
6	2	qo	/š/	QO
6	3	qokeey	QO[definiteness]+/ts/+/od/	QO
6	4	qokeey	QO[definiteness]+/ts/+/od/	QO
6	5	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
6	6	sheoky	SH[shim/essence]+/š/+/ts/+/od/	SH
6	7	otedy	OT[od/stellar]+/∅/+/od/	OT
6	8	qotey	QO[definiteness]+/t/+/od/	QO
6	9	qokchey	QO[definiteness]+/ts/+/ŋ/+/od/	QO
6	10	chdar	CH[khii/wind]+dar[FROM]	CH
6	11	aiin	/a/	GLYPH
6	12	y	/od/	GLYPH
7	0	okchey	OK[ug/extract]+CH[khii/wind]+/od/	OK
7	1	okedy	ug-ed[extraction-classified]	OK
7	2	qokchedy	QO[definiteness]+/ts/+/ŋ/+/∅/+/od/	QO
7	3	chedy	khii-ed[vital-wind-classified]	CH
7	4	qokedy	qok-ed[def-extraction-classified]	QO
7	5	okar	OK[ug/extract]+/a/+/k/	OK
7	6	chdy	CH[khii/wind]+/∅/+/od/	CH
7	7	okar	OK[ug/extract]+/a/+/k/	OK
7	8	char	CH[khii/wind]+/a/+/k/	CH
7	9	chkaiin	CH[khii/wind]+/ts/+/a/	CH
7	10	chsy	CH[khii/wind]+/dar/+/od/	CH
8	0	pochedy	p[article]+/š/+/ŋ/+/∅/+/od/	P-ART
8	1	shy	SH[shim/essence]+/od/	SH
8	2	shokeedar	SH[shim/essence]+OK[ug/extract]+ee[intensif]+dar[FROM]	SH
8	3	al	/a/+/ug/	AL
8	4	kedal	/ts/+/∅/+/a/+/ug/	GLYPH
8	5	chokchy	CH[khii/wind]+OK[ug/extract]+CH[khii/wind]+/od/	CH
8	6	qokar	QO[definiteness]+/ts/+/a/+/k/	QO
8	7	ch	/ŋ/	CH
8	8	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
8	9	qaiin	/a/	GLYPH
8	10	okeedy	OK[ug/extract]+ee[intensif]+/∅/+/od/	OK
8	11	qetam	/t/+/a/+/m/	GLYPH
9	0	cthey	CTH[ts/prep-type]+/od/	CTH
9	1	chedain	CH[khii/wind]+/∅/+/a/	CH
9	2	chedy	khii-ed[vital-wind-classified]	CH
9	3	okedy	ug-ed[extraction-classified]	OK
9	4	lkedy	/ug/+/ts/+/∅/+/od/	GLYPH
9	5	raraiin	/k/+/a/+/k/+/a/	GLYPH
9	6	qokar	QO[definiteness]+/ts/+/a/+/k/	QO
9	7	otal	OT[od/stellar]+/a/+/ug/	OT
9	8	kedy	/ts/+/∅/+/od/	GLYPH
9	9	ar	/a/+/k/	GLYPH
9	10	air	/a/+/k/	GLYPH
9	11	ockhedy	/š/+/ŋ/+/ts/+/∅/+/od/	GLYPH
10	0	taiin	/t/+/a/	GLYPH
10	1	shkeedy	SH[shim/essence]+/ts/+/∅/+/od/	SH
10	2	qoteey	QO[definiteness]+/t/+/od/	QO
10	3	oteey	OT[od/stellar]+ee[intensif]+/od/	OT
10	4	ykeol	/od/+/ts/+/š/+/ug/	GLYPH
10	5	ykeedy	/od/+/ts/+/∅/+/od/	GLYPH
10	6	chekar	CH[khii/wind]+/ts/+/a/+/k/	CH
10	7	qokeeodaiin	QO[definiteness]+/ts/+/š/+/∅/+/a/	QO
10	8	okeyty	OK[ug/extract]+/od/+/t/+/od/	OK
10	9	ody	/š/+/∅/+/od/	GLYPH
11	0	teodeey	/t/+/š/+/∅/+/od/	GLYPH
11	1	ar	/a/+/k/	GLYPH
11	2	aiin	/a/	GLYPH
11	3	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
11	4	qetchdy	/t/+/ŋ/+/∅/+/od/	GLYPH
11	5	oteeody	OT[od/stellar]+ee[intensif]+/š/+/∅/+/od/	OT
11	6	okaiin	ug-gen[extraction-of]	OK
11	7	ykeeo	/od/+/ts/+/š/	GLYPH
11	8	dain	/∅/+/a/	GLYPH
11	9	otalaiin	OT[od/stellar]+AL[intensifier]+/a/	OT
11	10	oly	OL[grade]+/od/	OL
12	0	tshey	/t/+/dar/+/od/	GLYPH
12	1	okchey	OK[ug/extract]+CH[khii/wind]+/od/	OK
12	2	dain	/∅/+/a/	GLYPH
12	3	aloiin	AL[intensifier]+/š/	AL
12	4	ocheey	/š/+/ŋ/+/od/	GLYPH
12	5	qokaiin	QO[definiteness]+/ts/+/a/	QO
12	6	chlam	CH[khii/wind]+/ug/+/a/+/m/	CH
12	7	okaiin	ug-gen[extraction-of]	OK
12	8	okal	ugal[extract-verb]	OK
12	9	kain	/ts/+/a/	GLYPH
12	10	alam	AL[intensifier]+/a/+/m/	AL
13	0	ykeey	/od/+/ts/+/od/	GLYPH
13	1	raiin	/k/+/a/	GLYPH
13	2	ar	/a/+/k/	GLYPH
13	3	ail	/a/+/ug/	GLYPH
13	4	odaiin	/š/+/∅/+/a/	GLYPH
14	0	polchal	p[article]+OL[grade]+CH[khii/wind]+/a/+/ug/	P-ART
14	1	shol	shim-nom[plant-id]	SH
14	2	qokar	QO[definiteness]+/ts/+/a/+/k/	QO
14	3	shedy	shim-ed[essence-classified]	SH
14	4	pcholy	p[article]+CH[khii/wind]+OL[grade]+/od/	P-ART
14	5	qokal	QO[definiteness]+/ts/+/a/+/ug/	QO
14	6	opchdy	/š/+/p/[article]+/ŋ/+/∅/+/od/	GLYPH
14	7	ofal	/š/+/f/+/a/+/ug/	GLYPH
14	8	shor	SH[shim/essence]+/š/+/k/	SH
14	9	qokaiin	QO[definiteness]+/ts/+/a/	QO
14	10	otalod	OT[od/stellar]+AL[intensifier]+/š/+/∅/	OT
15	0	orain	/š/+/k/+/a/	GLYPH
15	1	cheey	CH[khii/wind]+ee[intensif]+/od/	CH
15	2	chey	CH[khii/wind]+/od/	CH
15	3	qokeey	QO[definiteness]+/ts/+/od/	QO
15	4	chedy	khii-ed[vital-wind-classified]	CH
15	5	okchedy	OK[ug/extract]+khii-ed[vital-wind-classified]	OK
15	6	qoeedy	QO[definiteness]+ee[intensif]+/∅/+/od/	QO
15	7	qockhey	QO[definiteness]+CK[khiig/pharma-wind]+/od/	QO
15	8	d	/∅/	GLYPH
15	9	iirain	/k/+/a/	GLYPH
15	10	okain	ug-ain[extraction-gen]	OK
16	0	say	/dar/+/a/+/od/	GLYPH
16	1	olkaiin	OL[grade]+/ts/+/a/	OL
16	2	chckhy	CH[khii/wind]+CK[khiig/pharma-wind]+/od/	CH
16	3	daiin	CLOSE[boundary]	MORPH
16	4	dal	dal[TO]	MORPH
16	5	daiin	CLOSE[boundary]	MORPH
17	0	fcheokair	/f/+/ŋ/+/š/+/ts/+/a/+/k/	GLYPH
17	1	okedaiin	OK[ug/extract]+/∅/+/a/	OK
17	2	chedy	khii-ed[vital-wind-classified]	CH
17	3	qokeed	QO[definiteness]+/ts/+/∅/	QO
17	4	okain	ug-ain[extraction-gen]	OK
17	5	chdy	CH[khii/wind]+/∅/+/od/	CH
17	6	laiin	/ug/+/a/	GLYPH
17	7	ofar	/š/+/f/+/a/+/k/	GLYPH
17	8	chedy	khii-ed[vital-wind-classified]	CH
17	9	tedam	/t/+/∅/+/a/+/m/	GLYPH
18	0	okeedy	OK[ug/extract]+ee[intensif]+/∅/+/od/	OK
18	1	lkal	/ug/+/ts/+/a/+/ug/	GLYPH
18	2	daiin	CLOSE[boundary]	MORPH
18	3	ykchedy	/od/+/ts/+/ŋ/+/∅/+/od/	GLYPH
18	4	qokol	QO[definiteness]+/ts/+/š/+/ug/	QO
18	5	chedy	khii-ed[vital-wind-classified]	CH
18	6	qokedy	qok-ed[def-extraction-classified]	QO
18	7	lkedy	/ug/+/ts/+/∅/+/od/	GLYPH
18	8	okalo	OK[ug/extract]+AL[intensifier]+/š/	OK
18	9	l	/ug/	GLYPH
18	10	chedl	CH[khii/wind]+/∅/+/ug/	CH
18	11	y	/od/	GLYPH
19	0	dchedy	/∅/+/ŋ/+/∅/+/od/	GLYPH
19	1	okeedar	OK[ug/extract]+ee[intensif]+dar[FROM]	OK
19	2	shchy	SH[shim/essence]+CH[khii/wind]+/od/	SH
19	3	okol	OK[ug/extract]+/š/+/ug/	OK
19	4	kedy	/ts/+/∅/+/od/	GLYPH
19	5	okeedy	OK[ug/extract]+ee[intensif]+/∅/+/od/	OK
19	6	chal	CH[khii/wind]+/a/+/ug/	CH
19	7	raiin	/k/+/a/	GLYPH
19	8	otedy	OT[od/stellar]+/∅/+/od/	OT
19	9	chtal	CH[khii/wind]+/t/+/a/+/ug/	CH
19	10	om	/š/+/m/	GLYPH
20	0	dain	/∅/+/a/	GLYPH
20	1	chey	CH[khii/wind]+/od/	CH
20	2	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
20	3	cholcheey	CH[khii/wind]+OL[grade]+CH[khii/wind]+/od/	CH
20	4	dalkar	/∅/+/a/+/ug/+/ts/+/a/+/k/	GLYPH
20	5	okedy	ug-ed[extraction-classified]	OK
21	0	qolshy	QO[definiteness]+/ug/+/dar/+/od/	QO
21	1	qoeedy	QO[definiteness]+ee[intensif]+/∅/+/od/	QO
21	2	lkealshedy	/ug/+/ts/+/a/+/ug/+/dar/+/∅/+/od/	GLYPH
21	3	shokal	SH[shim/essence]+ugal[extract-verb]	SH
21	4	keedy	/ts/+/∅/+/od/	GLYPH
21	5	qotedy	QO[definiteness]+/t/+/∅/+/od/	QO
21	6	qopchedy	QO[definiteness]+p[article]+khii-ed[vital-wind-classified]	QO
21	7	otal	OT[od/stellar]+/a/+/ug/	OT
21	8	dkedam	/∅/+/ts/+/∅/+/a/+/m/	GLYPH
22	0	dcheol	/∅/+/ŋ/+/š/+/ug/	GLYPH
22	1	shol	shim-nom[plant-id]	SH
22	2	dal	dal[TO]	MORPH
22	3	qokaiin	QO[definiteness]+/ts/+/a/	QO
22	4	otal	OT[od/stellar]+/a/+/ug/	OT
22	5	ol	/š/+/ug/	OL
22	6	shedy	shim-ed[essence-classified]	SH
22	7	qokey	QO[definiteness]+/ts/+/od/	QO
22	8	chey	CH[khii/wind]+/od/	CH
22	9	lor	/ug/+/š/+/k/	GLYPH
22	10	aiin	/a/	GLYPH
22	11	okeeam	OK[ug/extract]+ee[intensif]+/a/+/m/	OK
23	0	ykeol	/od/+/ts/+/š/+/ug/	GLYPH
23	1	chey	CH[khii/wind]+/od/	CH
23	2	okain	ug-ain[extraction-gen]	OK
23	3	charain	CH[khii/wind]+/a/+/k/+/a/	CH
24	0	folaiin	/f/+/š/+/ug/+/a/	GLYPH
24	1	y	/od/	GLYPH
24	2	qokal	QO[definiteness]+/ts/+/a/+/ug/	QO
24	3	lkedy	/ug/+/ts/+/∅/+/od/	GLYPH
24	4	qotedy	QO[definiteness]+/t/+/∅/+/od/	QO
24	5	qoked	QO[definiteness]+/ts/+/∅/	QO
24	6	qotedy	QO[definiteness]+/t/+/∅/+/od/	QO
24	7	okal	ugal[extract-verb]	OK
24	8	chdar	CH[khii/wind]+dar[FROM]	CH
24	9	al	/a/+/ug/	AL
24	10	char	CH[khii/wind]+/a/+/k/	CH
24	11	aiin	/a/	GLYPH
25	0	y	/od/	GLYPH
25	1	cheeor	CH[khii/wind]+ee[intensif]+/š/+/k/	CH
25	2	aiin	/a/	GLYPH
25	3	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
25	4	cheol	khii-eol[vital-wind-completive]	CH
25	5	chedy	khii-ed[vital-wind-classified]	CH
25	6	opchsd	/š/+/p/[article]+/ŋ/+/dar/+/∅/	GLYPH
25	7	opchedy	/š/+/p/[article]+/ŋ/+/∅/+/od/	GLYPH
25	8	alkedy	AL[intensifier]+/ts/+/∅/+/od/	AL
25	9	al	/a/+/ug/	AL
25	10	lkeam	/ug/+/ts/+/a/+/m/	GLYPH
25	11	ol	/š/+/ug/	OL
25	12	rain	k-ain[khii-gen-alt]	MORPH
25	13	al	/a/+/ug/	AL
26	0	dair	/∅/+/a/+/k/	DAIR
26	1	okal	ugal[extract-verb]	OK
26	2	chedy	khii-ed[vital-wind-classified]	CH
26	3	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
26	4	oteor	OT[od/stellar]+/š/+/k/	OT
26	5	al	/a/+/ug/	AL
26	6	qokedy	qok-ed[def-extraction-classified]	QO
26	7	qokedy	qok-ed[def-extraction-classified]	QO
26	8	otaiin	od-gen[of-stars]	OT
26	9	otedar	OT[od/stellar]+/∅/+/a/+/k/	OT
26	10	chalkeedy	CH[khii/wind]+AL[intensifier]+/ts/+/∅/+/od/	CH
27	0	ychedain	/od/+/ŋ/+/∅/+/a/	GLYPH
27	1	orcheory	/š/+/k/+/ŋ/+/š/+/k/+/od/	GLYPH
27	2	qoaiin	QO[definiteness]+/a/	QO
27	3	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
27	4	qokeey	QO[definiteness]+/ts/+/od/	QO
27	5	chdal	CH[khii/wind]+dal[TO]	CH
27	6	okedy	ug-ed[extraction-classified]	OK
27	7	qokedy	qok-ed[def-extraction-classified]	QO
27	8	okedam	OK[ug/extract]+/∅/+/a/+/m/	OK
27	9	chdy	CH[khii/wind]+/∅/+/od/	CH
28	0	sain	/dar/+/a/	GLYPH
28	1	arolkeey	/a/+/k/+/š/+/ug/+/ts/+/od/	GLYPH
28	2	qoal	QO[definiteness]+/a/+/ug/	QO
28	3	olkedy	OL[grade]+/ts/+/∅/+/od/	OL
28	4	okaiin	ug-gen[extraction-of]	OK
29	0	polchedy	p[article]+OL[grade]+khii-ed[vital-wind-classified]	P-ART
29	1	okedy	ug-ed[extraction-classified]	OK
29	2	qopchedy	QO[definiteness]+p[article]+khii-ed[vital-wind-classified]	QO
29	3	okeolkey	OK[ug/extract]+/š/+/ug/+/ts/+/od/	OK
29	4	teedy	/t/+/∅/+/od/	GLYPH
29	5	qotaiin	QO[definiteness]+/t/+/a/	QO
29	6	otedy	OT[od/stellar]+/∅/+/od/	OT
29	7	okeedy	OK[ug/extract]+ee[intensif]+/∅/+/od/	OK
29	8	otedam	OT[od/stellar]+/∅/+/a/+/m/	OT
30	0	ykeol	/od/+/ts/+/š/+/ug/	GLYPH
30	1	chedal	CH[khii/wind]+/∅/+/a/+/ug/	CH
30	2	chokedy	CH[khii/wind]+ug-ed[extraction-classified]	CH
30	3	o	/š/	GLYPH
30	4	qokedy	qok-ed[def-extraction-classified]	QO
30	5	okchedy	OK[ug/extract]+khii-ed[vital-wind-classified]	OK
30	6	saiin	/dar/+/a/	GLYPH
30	7	alkan	AL[intensifier]+/ts/+/a/	AL
31	0	keol	/ts/+/š/+/ug/	GLYPH
31	1	sheody	SH[shim/essence]+/š/+/∅/+/od/	SH
31	2	qokedy	qok-ed[def-extraction-classified]	QO
31	3	qokeedy	QO[definiteness]+/ts/+/∅/+/od/	QO
31	4	qokoy	QO[definiteness]+/ts/+/š/+/od/	QO
31	5	qoiiedy	QO[definiteness]+/∅/+/od/	QO
31	6	otedy	OT[od/stellar]+/∅/+/od/	OT
31	7	qokedy	qok-ed[def-extraction-classified]	QO
31	8	qokedy	qok-ed[def-extraction-classified]	QO
31	9	qokal	QO[definiteness]+/ts/+/a/+/ug/	QO
32	0	ykedar	/od/+/ts/+/∅/+/a/+/k/	GLYPH
32	1	chedy	khii-ed[vital-wind-classified]	CH
32	2	qokey	QO[definiteness]+/ts/+/od/	QO
32	3	lkeedy	/ug/+/ts/+/∅/+/od/	GLYPH
32	4	otedy	OT[od/stellar]+/∅/+/od/	OT
32	5	okedy	ug-ed[extraction-classified]	OK
32	6	otedy	OT[od/stellar]+/∅/+/od/	OT
32	7	otal	OT[od/stellar]+/a/+/ug/	OT
32	8	shol	shim-nom[plant-id]	SH
32	9	alodar	AL[intensifier]+/š/+/∅/+/a/+/k/	AL
32	10	or	/š/+/k/	GLYPH
32	11	alold	AL[intensifier]+OL[grade]+/∅/	AL
33	0	solkedy	/dar/+/š/+/ug/+/ts/+/∅/+/od/	GLYPH
33	1	okchd	OK[ug/extract]+CH[khii/wind]+/∅/	OK
33	2	qokedy	qok-ed[def-extraction-classified]	QO
33	3	okedy	ug-ed[extraction-classified]	OK
33	4	okeol	ug-eol[extraction-completive]	OK
33	5	chdy	CH[khii/wind]+/∅/+/od/	CH
33	6	okar	OK[ug/extract]+/a/+/k/	OK
33	7	okedy	ug-ed[extraction-classified]	OK
33	8	okedy	ug-ed[extraction-classified]	OK
33	9	chlar	CH[khii/wind]+/ug/+/a/+/k/	CH
34	0	ycheol	/od/+/ŋ/+/š/+/ug/	GLYPH
34	1	chckhy	CH[khii/wind]+CK[khiig/pharma-wind]+/od/	CH
34	2	qokedy	qok-ed[def-extraction-classified]	QO
34	3	okain	ug-ain[extraction-gen]	OK
35	0	pychory	p[article]+/od/+/ŋ/+/š/+/k/+/od/	P-ART
35	1	opchey	/š/+/p/[article]+/ŋ/+/od/	GLYPH
35	2	lkeol	/ug/+/ts/+/š/+/ug/	GLYPH
35	3	chdar	CH[khii/wind]+dar[FROM]	CH
35	4	shedy	shim-ed[essence-classified]	SH
35	5	qofchdy	QO[definiteness]+/f/+/ŋ/+/∅/+/od/	QO
35	6	opalal	/š/+/p/[article]+/a/+/ug/+/a/+/ug/	GLYPH
35	7	cheedy	CH[khii/wind]+ee[intensif]+/∅/+/od/	CH
35	8	qokalchdy	QO[definiteness]+/ts/+/a/+/ug/+/ŋ/+/∅/+/od/	QO
35	9	opchdy	/š/+/p/[article]+/ŋ/+/∅/+/od/	GLYPH
36	0	okechy	OK[ug/extract]+/ŋ/+/od/	OK
36	1	okeol	ug-eol[extraction-completive]	OK
36	2	okeedy	OK[ug/extract]+ee[intensif]+/∅/+/od/	OK
36	3	cheedar	CH[khii/wind]+ee[intensif]+dar[FROM]	CH
36	4	okedy	ug-ed[extraction-classified]	OK
36	5	qotal	QO[definiteness]+/t/+/a/+/ug/	QO
36	6	chdy	CH[khii/wind]+/∅/+/od/	CH
36	7	chedal	CH[khii/wind]+/∅/+/a/+/ug/	CH
36	8	chedy	khii-ed[vital-wind-classified]	CH
37	0	tchedy	/t/+/ŋ/+/∅/+/od/	GLYPH
37	1	qokey	QO[definiteness]+/ts/+/od/	QO
37	2	okeey	OK[ug/extract]+ee[intensif]+/od/	OK
37	3	lkeey	/ug/+/ts/+/od/	GLYPH
37	4	chedy	khii-ed[vital-wind-classified]	CH
